QM,Securities,CBNA,IE,ATM,Mo,POS,WEBPAY,MOBILE,Headline,Core,Food,OilRevenue,Insecurity,PMS,PMIt,GovtExp
25360369.97,2011150.97,48455556.91,381.0,158259049,12381367.68,68537758,747664285,77318921,14.89,11.05,18.3,225412000.0,74916,167.27,49.4,189565.0
22075248.56,2908608.6,47971510.38,381.0,145075140,15961286.61,77900738,798947734,90139553,15.75,11.37,19.56,309257131.3,75508,165.7,50.2,364559.0
21665790.48,2231303.13,47773857.44,381.0,96397612,16553042.48,166546211,245917631,51411911,16.47,11.85,20.57,315239659.4,76484,164.09,49.6,717574.0
28068607.06,2977663.32,50613919.58,381.0,98575736,10324564.92,168162994,240174681,52199634,17.33,12.38,21.79,296937904.0,77363,166.24,44.9,52316.0
22592482.79,-4490626.78,50976405.91,381.0,112375140,16026331.6,195177520,285610769,61394658,18.17,12.67,22.95,343936162.3,78238,172.68,48.7,305431.0
22527326.04,-4838708.78,51441740.56,381.0,171128135,16261001.44,197585215,275879121,58010554,18.12,12.74,22.72,370610000.0,79275,166.38,48.8,173416.0
23306663.11,-952689.31,50177680.93,397.65,95064083,16426893.61,201456699,289935823,50784096,17.93,13.15,22.28,285210000.0,80326,168.06,49.0,348313.0
24670332.95,-2076351.01,50891288.55,410.16,66921552,16139759.87,138659307,291146064,51172225,17.75,13.09,21.83,262642000.0,81385,165.61,43.9,326512.0
23472556.28,19331.91,52234992.88,410.13,108812929,16261001.44,180208347,276649292,54712233,17.38,13.72,21.03,412104000.0,81946,165.91,45.5,95546.0
24383201.21,135050.94,55035016.59,410.15,110860368,16426893.61,182617418,283844214,55214753,17.01,13.41,20.3,423172000.0,82372,164.91,46.6,235946.0
24487919.19,933.29,54769499.74,410.56,110557413,15961286.61,180105397,283490903,53978772,16.63,13.74,19.57,307433000.0,81901,164.85,46.9,219334.19
